epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,4348.89,1.98105,1.0703,1.06016,0.79819,0.71096,0.79257,0.33619,1.94047,1.126,1.07645,0.0013268,0.0013268,0.0013268
19,4594.31,2.01494,1.11098,1.07902,0.83254,0.74947,0.82141,0.3652,1.8516,1.08085,1.05154,0.0012872,0.0012872,0.0012872
20,4833.23,1.96191,1.06517,1.07021,0.81697,0.73272,0.82056,0.36833,1.84476,1.04663,1.04885,0.0012476,0.0012476,0.0012476
21,5073.27,1.95454,1.05966,1.05958,0.82872,0.74829,0.83094,0.37738,1.78748,1.0264,1.03068,0.001208,0.001208,0.001208
22,5311.68,1.924,1.03321,1.04629,0.84676,0.74357,0.83628,0.38539,1.79705,0.99032,1.03725,0.0011684,0.0011684,0.0011684
23,5549.27,1.89403,1.0268,1.05233,0.84498,0.74361,0.83142,0.38799,1.7841,1.00462,1.04008,0.0011288,0.0011288,0.0011288
24,5786.53,1.90272,1.02575,1.03968,0.82511,0.74893,0.82711,0.39117,1.78935,0.9759,1.03702,0.0010892,0.0010892,0.0010892
25,6023.65,1.90745,1.01069,1.06286,0.82546,0.74595,0.83347,0.37387,1.82413,0.98683,1.0417,0.0010496,0.0010496,0.0010496
26,6260.22,1.88894,1.01646,1.03945,0.83342,0.76028,0.84768,0.39545,1.77358,0.97047,1.02881,0.00101,0.00101,0.00101
27,6491.53,1.89138,0.98669,1.04636,0.84631,0.76457,0.84604,0.39318,1.80435,0.96789,1.03746,0.0009704,0.0009704,0.0009704
28,6722.63,1.88072,0.98596,1.04484,0.85166,0.7811,0.85877,0.3947,1.79103,0.969,1.0319,0.0009308,0.0009308,0.0009308
29,6952.59,1.87443,0.98513,1.03619,0.84283,0.77649,0.85354,0.40584,1.75727,0.92495,1.02382,0.0008912,0.0008912,0.0008912
30,7182.25,1.86714,0.96211,1.04096,0.84589,0.77889,0.85698,0.39831,1.76699,0.95408,1.02429,0.0008516,0.0008516,0.0008516
31,7412.61,1.85994,0.97233,1.04703,0.85601,0.79334,0.86847,0.41632,1.72112,0.92434,1.01799,0.000812,0.000812,0.000812
32,7642.86,1.85477,0.98321,1.05142,0.86925,0.77964,0.86662,0.41905,1.73781,0.91543,1.02267,0.0007724,0.0007724,0.0007724
33,7873.34,1.86223,0.97336,1.04455,0.86684,0.77297,0.85311,0.41624,1.73163,0.91678,1.02167,0.0007328,0.0007328,0.0007328
34,8104.02,1.85212,0.97069,1.02379,0.85232,0.78951,0.86915,0.41499,1.73349,0.90809,1.01772,0.0006932,0.0006932,0.0006932
35,8334.32,1.85634,0.96071,1.03542,0.86385,0.78448,0.8689,0.42125,1.71603,0.89726,1.01548,0.0006536,0.0006536,0.0006536
36,8566.65,1.86327,0.96828,1.0276,0.8629,0.79081,0.87036,0.41948,1.73092,0.90827,1.01465,0.000614,0.000614,0.000614
37,8796.77,1.83357,0.93225,1.02688,0.85891,0.8029,0.87578,0.41875,1.73283,0.89471,1.0155,0.0005744,0.0005744,0.0005744
38,9027.4,1.82682,0.93361,1.01695,0.85993,0.81014,0.88246,0.42282,1.71639,0.88474,1.00927,0.0005348,0.0005348,0.0005348
39,9257.55,1.81745,0.91163,1.02338,0.85457,0.79806,0.87282,0.41733,1.74992,0.89085,1.01798,0.0004952,0.0004952,0.0004952
40,9488.55,1.8175,0.91745,1.02028,0.84788,0.79471,0.87257,0.4123,1.74439,0.90843,1.01989,0.0004556,0.0004556,0.0004556
41,9716.24,1.80054,0.9091,1.06239,0.8601,0.7895,0.87073,0.4276,1.72044,0.88551,1.01296,0.000416,0.000416,0.000416
